rating,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,region_south_america,type_espresso,type_organic,type_fair_trade,type_decaffeinated,type_pod_capsule,type_blend,type_estate,roast,aroma,body,flavor,month,year,region
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,January,2019,region_africa_arabia
91.0,0,0,0,0,1,0,1,0,0,0,0,0,1,Medium,8.0,8.0,8.0,January,2019,region_asia_pacific
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.0,9.0,10.0,January,2019,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,January,2019,region_africa_arabia
93.0,0,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,January,2019,region_africa_arabia
94.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,January,2019,region_central_america
94.0,1,0,0,0,0,0,0,1,1,0,0,0,0,Medium-Light,9.0,9.0,9.0,January,2019,region_africa_arabia
93.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,January,2019,region_africa_arabia
93.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,January,2019,region_central_america
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,January,2019,region_africa_arabia
97.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,10.0,10.0,10.0,January,2019,region_central_america
94.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,December,2018,region_africa_arabia
94.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,December,2018,region_africa_arabia
91.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,8.0,8.0,9.0,December,2018,region_central_america
91.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,8.0,8.0,9.0,December,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,December,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,December,2018,region_africa_arabia
