rating,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,region_south_america,type_espresso,type_organic,type_fair_trade,type_decaffeinated,type_pod_capsule,type_blend,type_estate,roast,region,Dark,Light,Medium,Medium-Dark,Medium-Light,Very Dark
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
91.0,0,0,0,0,1,0,1,0,0,0,0,0,1,Medium,region_asia_pacific,0,0,1,0,0,0
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,region_africa_arabia,0,0,1,0,0,0
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
93.0,0,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
94.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_central_america,0,0,0,0,1,0
94.0,1,0,0,0,0,0,0,1,1,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
93.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
93.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_central_america,0,0,0,0,1,0
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
97.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,region_central_america,0,0,0,0,1,0
94.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,region_africa_arabia,0,0,0,0,1,0
94.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,region_africa_arabia,0,0,0,0,1,0
91.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,region_central_america,0,0,0,0,1,0
91.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
92.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,region_africa_arabia,0,0,0,0,1,0
94.0,1,0,0,0,0,0,0,0,1,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,region_central_america,0,0,0,0,1,0
94.0,1,0,0,0,0,0,0,1,1,0,0,0,0,Light,region_africa_arabia,0,1,0,0,0,0
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,region_africa_arabia,0,0,1,0,0,0
92.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium-Light,region_asia_pacific,0,0,0,0,1,0
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
93.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_central_america,0,0,0,0,1,0
93.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
93.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
92.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,region_central_america,0,0,0,0,1,0
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
96.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,region_central_america,0,0,0,0,1,0
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
94.0,0,0,1,0,0,1,0,0,0,0,0,0,1,Medium-Light,region_central_america,0,0,0,0,1,0
94.0,0,0,0,0,0,0,0,1,1,0,0,1,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
94.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,region_central_america,0,0,0,0,1,0
94.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,region_central_america,0,0,0,0,1,0
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,region_central_america,0,0,0,0,1,0
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,region_central_america,0,0,0,0,1,0
94.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
93.0,1,0,0,0,0,0,0,1,0,0,0,0,1,Medium-Light,region_africa_arabia,0,0,0,0,1,0
91.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
90.0,0,0,0,0,0,0,1,1,0,0,0,1,0,Medium,region_africa_arabia,0,0,1,0,0,0
91.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
90.0,0,0,0,0,0,0,1,0,0,1,0,0,0,Medium,region_africa_arabia,0,0,1,0,0,0
90.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,region_central_america,0,0,0,0,1,0
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
92.0,0,0,1,0,0,0,1,0,0,0,0,0,1,Medium,region_central_america,0,0,1,0,0,0
96.0,1,0,0,1,0,0,0,0,1,0,0,0,1,Medium,region_africa_arabia,0,0,1,0,0,0
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
95.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,region_africa_arabia,0,0,0,0,1,0
